Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1850.0
FDW14,OUT017,1596.0
NCN55,OUT010,1922.0
FDQ58,OUT017,2614.0
FDY38,OUT027,5182.0
FDH56,OUT046,1892.0
FDL48,OUT018,628.0
FDC48,OUT027,2770.0
FDN33,OUT045,1494.0
FDA36,OUT017,3076.0
FDT44,OUT017,1986.0
FDQ56,OUT045,1270.0
NCC54,OUT019,1820.0
FDU11,OUT049,2026.0
DRL59,OUT013,922.0
FDM24,OUT049,2566.0
FDI57,OUT045,3066.0
DRC12,OUT018,2808.0
NCM42,OUT027,3186.0
FDA46,OUT010,1152.0
FDA31,OUT013,2802.0
NCJ31,OUT035,3850.0
FDG52,OUT046,768.0
NCL19,OUT019,368.0
FDS10,OUT035,3018.0
FDX22,OUT010,1500.0
NCF19,OUT035,898.0
NCE06,OUT046,2484.0
DRC27,OUT046,3828.0
FDE21,OUT035,2014.0
NCR42,OUT019,-1376.0
FDX51,OUT018,2908.0
NCR06,OUT018,452.0
FDU31,OUT027,4954.0
FDU59,OUT017,2700.0
FDR03,OUT027,4786.0
FDS49,OUT027,2746.0
FDD48,OUT010,-40.0
NCF18,OUT017,3098.0
NCD43,OUT027,3094.0
NCD54,OUT018,2012.0
FDY19,OUT010,-4.0
NCY54,OUT017,2786.0
NCL19,OUT018,2052.0
FDP23,OUT010,1568.0
FDC26,OUT013,1822.0
FDR14,OUT010,-1036.0
NCS41,OUT035,3022.0
FDF41,OUT035,4018.0
FDU34,OUT046,1964.0
DRH11,OUT046,900.0
FDM03,OUT013,1778.0
FDS31,OUT017,3072.0
FDJ20,OUT017,2098.0
FDV44,OUT027,4506.0
FDG02,OUT049,3098.0
FDA09,OUT013,2934.0
FDT04,OUT013,702.0
FDL58,OUT019,2292.0
FDE52,OUT045,1454.0
FDW12,OUT035,2508.0
FDL51,OUT017,3564.0
NCY42,OUT027,3682.0
FDR07,OUT017,1648.0
FDN40,OUT045,2350.0
FDB35,OUT027,2954.0
FDA22,OUT017,2734.0
NCL06,OUT046,4076.0
FDI35,OUT013,2934.0
NCW42,OUT045,3384.0
NCX06,OUT049,2930.0
FDC37,OUT027,3186.0
FDZ14,OUT018,1764.0
DRG49,OUT049,3954.0
NCG06,OUT045,3938.0
DRC36,OUT045,2738.0
FDV21,OUT019,20.0
FDB53,OUT046,2316.0
DRP47,OUT019,2032.0
FDA14,OUT013,2366.0
DRC24,OUT035,2576.0
FDW21,OUT018,1460.0
NCH29,OUT046,1524.0
FDU58,OUT013,3114.0
FDY27,OUT017,2946.0
FDV56,OUT035,1956.0
FDT59,OUT046,3628.0
FDB23,OUT046,3612.0
FDR49,OUT045,662.0
FDB03,OUT010,1938.0
FDN39,OUT045,2614.0
FDX02,OUT027,4978.0
FDQ16,OUT027,3178.0
FDU35,OUT018,1364.0
NCT29,OUT013,1970.0
FDZ27,OUT046,800.0
FDN57,OUT017,2340.0
FDA03,OUT018,2140.0
FDZ36,OUT045,2910.0
NCU05,OUT013,1334.0
FDT39,OUT018,2220.0
FDK60,OUT017,1736.0
FDZ25,OUT017,2878.0
FDG12,OUT046,2032.0
DRB01,OUT019,1128.0
NCC43,OUT027,5366.0
FDX13,OUT019,2020.0
FDM22,OUT049,1038.0
FDJ03,OUT027,2314.0
FDU14,OUT018,3700.0
FDB33,OUT010,660.0
FDP27,OUT046,2960.0
FDO38,OUT010,-644.0
FDE28,OUT027,5158.0
FDO27,OUT035,1690.0
DRL23,OUT027,3182.0
FDS28,OUT046,940.0
FDX24,OUT013,1566.0
FDZ02,OUT035,1750.0
FDL46,OUT045,1786.0
FDS60,OUT027,4290.0
NCO06,OUT017,620.0
FDO16,OUT035,1514.0
FDC60,OUT049,1538.0
FDA48,OUT018,3212.0
FDZ36,OUT027,4462.0
FDK27,OUT045,1854.0
FDW23,OUT018,388.0
FDM14,OUT018,1532.0
FDM14,OUT013,1806.0
FDW60,OUT018,2644.0
FDE21,OUT013,1926.0
NCM42,OUT035,1866.0
FDY59,OUT010,-336.0
DRI49,OUT049,1378.0
FDT28,OUT019,488.0
FDQ22,OUT018,428.0
FDR60,OUT049,1318.0
FDC50,OUT019,-428.0
FDV24,OUT013,2470.0
DRF48,OUT010,1066.0
FDQ47,OUT046,604.0
DRN36,OUT049,1678.0
NCY06,OUT035,2154.0
FDE52,OUT035,1670.0
NCB54,OUT045,1908.0
NCF31,OUT035,2530.0
FDJ08,OUT027,4434.0
NCC07,OUT017,1780.0
NCD19,OUT027,2362.0
FDL46,OUT049,2006.0
FDM20,OUT045,3814.0
NCI06,OUT010,942.0
DRM11,OUT035,4224.0
NCH07,OUT018,2220.0
FDS23,OUT013,2082.0
FDO49,OUT018,644.0
FDS35,OUT049,1146.0
DRK39,OUT045,1274.0
DRI39,OUT049,1042.0
FDV04,OUT017,2640.0
NCN14,OUT035,2990.0
FDH08,OUT013,3702.0
FDS20,OUT046,2876.0
FDV40,OUT049,1358.0
FDZ48,OUT010,-114.0
FDS24,OUT027,2922.0
FDK44,OUT049,2846.0
FDS48,OUT045,2322.0
FDK26,OUT010,1158.0
FDD23,OUT045,2966.0
NCH54,OUT017,2622.0
NCP14,OUT010,-234.0
FDM60,OUT010,-1130.0
FDV24,OUT017,2516.0
FDH08,OUT018,3364.0
FDS12,OUT027,3438.0
FDR39,OUT027,4306.0
FDP12,OUT027,2138.0
DRF60,OUT027,5206.0
FDC09,OUT035,1854.0
FDF50,OUT018,2908.0
FDG28,OUT035,4064.0
NCE19,OUT017,966.0
NCM53,OUT010,-170.0
NCN18,OUT049,1838.0
FDF32,OUT035,3308.0
FDF11,OUT013,3910.0
DRI59,OUT049,3682.0
NCG54,OUT035,2794.0
FDM44,OUT046,1600.0
FDT57,OUT018,3492.0
